Rk,Player,Date,Age,Team,Sep,Opp,Result,GS,MP,FG,FGA,FGper,TwoP,TwoPA,TwoPper,ThreeP,ThreePA,ThreePper,FT,FTA,FTper,TSper,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Pos,Player_additional
304,Kobe Bryant,2001-01-19,22-149,LAL,,HOU,W 114-101,1,39,12,22,.545,11,18,.611,1,4,.250,4,5,.800,.599,2,4,6,4,3,0,1,3,29,24.2,8.4,G-F,bryanko01
305,Kobe Bryant,2001-01-21,22-151,LAL,,MIA,L 92-103,1,45,13,27,.481,12,24,.500,1,3,.333,7,8,.875,.557,2,6,8,0,5,1,6,6,34,20.4,6.1,G-F,bryanko01
306,Kobe Bryant,2001-01-23,22-153,LAL,@,SEA,L 80-91,1,43,5,19,.263,4,14,.286,1,5,.200,10,13,.769,.425,3,5,8,5,2,0,2,3,21,14.4,3.0,G-F,bryanko01
307,Kobe Bryant,2001-01-26,22-156,LAL,,NJN,W 113-101,1,42,10,20,.500,8,16,.500,2,4,.500,4,5,.800,.586,1,8,9,3,1,0,3,2,26,18.0,0.1,G-F,bryanko01
308,Kobe Bryant,2001-01-28,22-158,LAL,@,NYK,L 81-91,1,42,12,27,.444,11,24,.458,1,3,.333,8,11,.727,.518,3,8,11,3,2,0,3,2,33,22.5,8.7,G-F,bryanko01
309,Kobe Bryant,2001-01-30,22-160,LAL,@,CLE,W 102-96,1,41,12,26,.462,12,25,.480,0,1,.000,23,26,.885,.628,2,3,5,3,3,1,7,3,47,32.3,11.1,G-F,bryanko01
310,Kobe Bryant,2001-01-31,22-161,LAL,@,MIN,L 83-96,1,42,6,17,.353,5,16,.313,1,1,1.000,11,12,.917,.539,3,6,9,5,0,3,3,2,24,19.8,7.5,G-F,bryanko01
311,Kobe Bryant,2001-02-02,22-163,LAL,,CHH,W 93-87,1,48,15,30,.500,15,29,.517,0,1,.000,14,14,1.000,.608,4,5,9,2,0,5,5,3,44,32.0,11.2,G-F,bryanko01
312,Kobe Bryant,2001-02-04,22-165,LAL,,SAC,W 100-94,1,44,8,26,.308,8,25,.320,0,1,.000,10,11,.909,.422,4,7,11,4,1,0,2,2,26,16.5,-0.6,G-F,bryanko01
313,Kobe Bryant,2001-02-07,22-168,LAL,,PHO,W 85-83,1,45,13,26,.500,12,24,.500,1,2,.500,5,7,.714,.550,1,7,8,9,4,1,4,4,32,26.4,14.5,G-F,bryanko01
314,Kobe Bryant,2001-02-13,22-174,LAL,@,NJN,W 113-110 (OT),1,49,14,25,.560,12,20,.600,2,5,.400,8,10,.800,.646,4,4,8,5,1,1,3,5,38,29.5,7.6,G-F,bryanko01
315,Kobe Bryant,2001-02-14,22-175,LAL,@,PHI,L 97-112,1,41,7,13,.538,6,11,.545,1,2,.500,3,4,.750,.610,1,6,7,7,1,0,6,3,18,12.5,-1.6,G-F,bryanko01
316,Kobe Bryant,2001-02-16,22-177,LAL,@,CHH,W 99-94,1,42,8,17,.471,8,16,.500,0,1,.000,9,10,.900,.584,2,8,10,10,1,0,4,2,25,22.9,7.2,G-F,bryanko01
317,Kobe Bryant,2001-02-18,22-179,LAL,@,IND,L 109-110,1,45,13,28,.464,13,26,.500,0,2,.000,7,9,.778,.516,3,2,5,9,1,1,4,2,33,23.7,3.2,G-F,bryanko01
