Rk,Player,Date,Age,Team,Sep,Opp,Result,GS,MP,FG,FGA,FGper,TwoP,TwoPA,TwoPper,ThreeP,ThreePA,ThreePper,FT,FTA,FTper,TSper,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Pos,Player_additional
669,Kobe Bryant,2006-01-31,27-161,LAL,@,NYK,W 130-97,1,34,7,17,.412,4,9,.444,3,8,.375,23,26,.885,.703,1,2,3,3,4,0,3,4,40,32.5,11.4,G-F,bryanko01
670,Kobe Bryant,2006-02-01,27-162,LAL,@,IND,L 79-105,1,35,8,24,.333,6,16,.375,2,8,.250,8,9,.889,.465,0,5,5,2,4,1,1,3,26,17.4,13.2,G-F,bryanko01
671,Kobe Bryant,2006-02-03,27-164,LAL,@,CHA,L 102-112,1,41,12,18,.667,10,11,.909,2,7,.286,9,9,1.000,.797,0,9,9,5,4,0,7,2,35,29.6,11.2,G-F,bryanko01
672,Kobe Bryant,2006-02-04,27-165,LAL,@,NOK,L 90-106,1,38,13,26,.500,8,15,.533,5,11,.455,4,5,.800,.621,0,6,6,5,0,0,7,5,35,17.9,2.2,G-F,bryanko01
673,Kobe Bryant,2006-02-07,27-168,LAL,@,DAL,L 87-102,1,42,5,22,.227,2,11,.182,3,11,.273,11,13,.846,.433,0,4,4,4,3,0,4,4,24,11.2,-0.6,G-F,bryanko01
674,Kobe Bryant,2006-02-08,27-169,LAL,@,HOU,W 89-78,1,45,13,29,.448,11,21,.524,2,8,.250,4,5,.800,.513,0,3,3,9,6,1,0,1,32,30.0,20.9,G-F,bryanko01
675,Kobe Bryant,2006-02-11,27-172,LAL,,MEM,L 99-100,1,46,10,28,.357,9,20,.450,1,8,.125,5,7,.714,.418,0,4,4,4,2,2,4,3,26,11.8,-3.3,G-F,bryanko01
676,Kobe Bryant,2006-02-13,27-174,LAL,,UTA,W 94-88,1,36,6,20,.300,3,12,.250,3,8,.375,8,8,1.000,.489,0,4,4,3,7,0,0,2,23,20.9,15.7,G-F,bryanko01
677,Kobe Bryant,2006-02-15,27-176,LAL,,ATL,L 110-114,1,47,14,28,.500,9,14,.643,5,14,.357,6,12,.500,.586,2,1,3,9,2,0,4,3,39,27.4,5.1,G-F,bryanko01
678,Kobe Bryant,2006-02-21,27-182,LAL,,POR,W 99-82,1,42,11,19,.579,6,11,.545,5,8,.625,0,1,.000,.694,0,6,6,4,5,1,2,2,27,25.2,14.9,G-F,bryanko01
679,Kobe Bryant,2006-02-23,27-184,LAL,,SAC,W 106-85,1,36,14,27,.519,10,20,.500,4,7,.571,4,4,1.000,.626,0,6,6,10,2,0,1,4,36,30.9,17.0,G-F,bryanko01
680,Kobe Bryant,2006-02-24,27-185,LAL,@,LAC,L 83-102,1,44,12,29,.414,7,18,.389,5,11,.455,10,12,.833,.569,0,4,4,8,2,0,5,3,39,25.3,14.4,G-F,bryanko01
681,Kobe Bryant,2006-02-26,27-187,LAL,,BOS,L 111-112,1,40,11,23,.478,8,15,.533,3,8,.375,15,17,.882,.656,1,7,8,6,1,0,3,5,40,30.5,9.8,G-F,bryanko01
682,Kobe Bryant,2006-02-28,27-189,LAL,,ORL,W 102-87,1,44,11,20,.550,7,11,.636,4,9,.444,2,2,1.000,.670,1,3,4,8,3,0,2,2,28,25.8,13.6,G-F,bryanko01
683,Kobe Bryant,2006-03-01,27-190,LAL,@,POR,L 93-99,1,41,10,27,.370,10,21,.476,0,6,.000,15,15,1.000,.521,0,6,6,5,2,0,4,3,35,22.2,2.5,G-F,bryanko01
684,Kobe Bryant,2006-03-03,27-192,LAL,@,GSW,W 106-94,1,42,11,29,.379,7,21,.333,4,8,.500,16,18,.889,.569,0,4,4,5,3,0,6,3,42,25.8,5.6,G-F,bryanko01
685,Kobe Bryant,2006-03-04,27-193,LAL,,DET,W 105-94,1,36,13,26,.500,12,23,.522,1,3,.333,13,13,1.000,.631,0,5,5,4,0,0,2,3,40,28.1,9.6,G-F,bryanko01
686,Kobe Bryant,2006-03-06,27-195,LAL,,SAS,L 96-103,1,41,17,32,.531,14,24,.583,3,8,.375,6,6,1.000,.621,0,6,6,3,0,0,2,2,43,28.5,10.9,G-F,bryanko01
687,Kobe Bryant,2006-03-08,27-197,LAL,@,NOK,W 113-107,1,44,12,33,.364,10,27,.370,2,6,.333,14,16,.875,.500,4,2,6,1,3,1,2,2,40,25.9,1.4,G-F,bryanko01
688,Kobe Bryant,2006-03-10,27-199,LAL,@,SAS,W 100-92,1,43,11,29,.379,10,24,.417,1,5,.200,6,7,.857,.452,0,4,4,4,2,0,2,1,29,16.3,0.1,G-F,bryanko01
689,Kobe Bryant,2006-03-12,27-201,LAL,,SEA,L 113-120,1,44,8,29,.276,6,16,.375,2,13,.154,4,5,.800,.353,1,4,5,7,2,0,5,2,22,7.5,-10.5,G-F,bryanko01
690,Kobe Bryant,2006-03-14,27-203,LAL,@,SAC,L 98-114,1,45,12,28,.429,8,20,.400,4,8,.500,2,3,.667,.512,2,5,7,7,1,1,3,3,30,20.1,4.0,G-F,bryanko01
691,Kobe Bryant,2006-03-15,27-204,LAL,,MIN,W 92-89,1,42,12,25,.480,12,22,.545,0,3,.000,1,1,1.000,.491,0,1,1,3,1,1,2,1,25,14.0,1.0,G-F,bryanko01
692,Kobe Bryant,2006-03-17,27-206,LAL,@,NJN,L 89-92,1,45,9,24,.375,7,16,.438,2,8,.250,4,4,1.000,.466,0,2,2,11,1,1,7,5,24,11.8,-2.2,G-F,bryanko01
693,Kobe Bryant,2006-03-19,27-208,LAL,@,CLE,L 95-96,1,45,15,33,.455,14,29,.483,1,4,.250,7,7,1.000,.527,0,6,6,5,3,1,3,4,38,25.3,4.7,G-F,bryanko01
694,Kobe Bryant,2006-03-20,27-209,LAL,@,BOS,W 105-97,1,41,18,39,.462,18,34,.529,0,5,.000,7,10,.700,.495,2,3,5,4,5,0,2,3,43,28.6,9.6,G-F,bryanko01
695,Kobe Bryant,2006-03-22,27-211,LAL,,SAC,W 87-80,1,41,11,20,.550,9,17,.529,2,3,.667,4,6,.667,.618,0,5,5,4,3,0,4,2,28,20.1,9.0,G-F,bryanko01
696,Kobe Bryant,2006-03-24,27-213,LAL,,MIL,W 101-96,1,44,12,26,.462,7,16,.438,5,10,.500,14,14,1.000,.669,0,5,5,2,0,0,4,2,43,27.7,7.2,G-F,bryanko01
697,Kobe Bryant,2006-03-26,27-215,LAL,,NOK,W 105-94,1,41,10,19,.526,9,16,.563,1,3,.333,9,11,.818,.629,0,5,5,2,3,0,4,3,30,20.6,2.3,G-F,bryanko01
698,Kobe Bryant,2006-03-30,27-219,LAL,,SAS,L 85-96,1,37,9,26,.346,9,20,.450,0,6,.000,5,5,1.000,.408,1,6,7,2,1,1,6,3,23,6.8,-4.9,G-F,bryanko01
699,Kobe Bryant,2006-03-31,27-220,LAL,@,SEA,W 106-93,1,46,17,38,.447,16,34,.471,1,4,.250,8,8,1.000,.518,1,4,5,4,1,1,6,3,43,22.4,-1.1,G-F,bryanko01
700,Kobe Bryant,2006-04-02,27-222,LAL,,HOU,W 104-88,1,36,19,32,.594,16,27,.593,3,5,.600,2,2,1.000,.654,1,2,3,6,1,0,2,3,43,31.5,13.8,G-F,bryanko01
701,Kobe Bryant,2006-04-06,27-226,LAL,@,DEN,L 108-110 (OT),1,46,13,32,.406,10,25,.400,3,7,.429,13,14,.929,.550,3,5,8,1,0,0,3,5,42,23.7,3.5,G-F,bryanko01
702,Kobe Bryant,2006-04-07,27-227,LAL,@,PHO,L 96-107,1,42,19,33,.576,14,22,.636,5,11,.455,8,10,.800,.682,0,5,5,3,1,0,2,3,51,36.1,17.5,G-F,bryanko01
703,Kobe Bryant,2006-04-09,27-229,LAL,,LAC,W 100-83,1,47,14,27,.519,11,20,.550,3,7,.429,7,9,.778,.614,0,5,5,5,3,0,4,4,38,26.3,9.7,G-F,bryanko01
704,Kobe Bryant,2006-04-11,27-231,LAL,,GSW,W 111-100,1,34,10,22,.455,8,14,.571,2,8,.250,9,14,.643,.550,1,3,4,5,2,0,1,4,31,22.1,8.0,G-F,bryanko01
705,Kobe Bryant,2006-04-14,27-234,LAL,,POR,W 110-99,1,44,17,28,.607,12,18,.667,5,10,.500,11,14,.786,.732,1,5,6,1,5,0,3,4,50,39.3,16.8,G-F,bryanko01
706,Kobe Bryant,2006-04-16,27-236,LAL,,PHO,W 109-89,1,39,11,28,.393,10,23,.435,1,5,.200,20,23,.870,.564,2,6,8,5,3,0,1,2,43,34.5,16.9,G-F,bryanko01
707,Kobe Bryant,2006-04-19,27-239,LAL,,NOK,W 115-95,1,29,13,26,.500,9,16,.563,4,10,.400,5,5,1.000,.621,1,4,5,3,3,0,1,2,35,27.2,16.1,G-F,bryanko01
708,Kobe Bryant,2006-11-03,28-072,LAL,,SEA,W 118-112,1,41,8,15,.533,8,15,.533,0,0,,7,10,.700,.593,0,4,4,6,1,0,6,3,23,13.7,-6.7,G-F,bryanko01
709,Kobe Bryant,2006-11-05,28-074,LAL,@,SEA,L 101-117,1,39,4,10,.400,4,6,.667,0,4,.000,7,8,.875,.555,0,4,4,9,1,0,3,5,15,12.7,-2.3,G-F,bryanko01
710,Kobe Bryant,2006-11-07,28-076,LAL,,MIN,W 95-88,1,35,5,7,.714,5,7,.714,0,0,,7,7,1.000,.843,1,3,4,6,2,0,5,3,17,15.7,4.8,G-F,bryanko01
711,Kobe Bryant,2006-11-08,28-077,LAL,@,POR,L 90-101,1,36,12,19,.632,11,14,.786,1,5,.200,7,9,.778,.697,1,2,3,1,1,0,6,4,32,18.1,3.1,G-F,bryanko01
712,Kobe Bryant,2006-11-10,28-079,LAL,,DET,L 83-97,1,36,5,11,.455,4,7,.571,1,4,.250,8,9,.889,.635,0,3,3,2,4,0,3,2,19,15.4,5.6,G-F,bryanko01
713,Kobe Bryant,2006-11-12,28-081,LAL,,MEM,W 91-81,1,38,7,17,.412,6,14,.429,1,3,.333,6,7,.857,.523,1,5,6,6,0,0,5,2,21,12.1,-0.4,G-F,bryanko01
714,Kobe Bryant,2006-11-17,28-086,LAL,,TOR,W 107-100,1,40,10,19,.526,10,17,.588,0,2,.000,11,12,.917,.638,1,10,11,7,0,0,6,2,31,23.1,3.3,G-F,bryanko01
715,Kobe Bryant,2006-11-19,28-088,LAL,,CHI,W 82-72,1,40,5,14,.357,4,13,.308,1,1,1.000,7,8,.875,.514,0,4,4,4,2,0,4,3,18,10.6,4.3,G-F,bryanko01
716,Kobe Bryant,2006-11-21,28-090,LAL,,LAC,W 105-101,1,38,12,23,.522,11,22,.500,1,1,1.000,15,18,.833,.647,2,3,5,5,3,0,1,4,40,33.7,21.4,G-F,bryanko01
717,Kobe Bryant,2006-11-24,28-093,LAL,@,UTA,L 108-114,1,41,9,18,.500,7,12,.583,2,6,.333,7,10,.700,.603,0,5,5,2,1,1,0,1,27,21.0,4.8,G-F,bryanko01
718,Kobe Bryant,2006-11-26,28-095,LAL,,NJN,W 99-93,1,43,8,24,.333,7,20,.350,1,4,.250,2,4,.500,.369,2,4,6,10,0,0,2,3,19,11.0,-5.3,G-F,bryanko01
719,Kobe Bryant,2006-11-28,28-097,LAL,,MIL,L 105-109,1,41,7,23,.304,1,9,.111,6,14,.429,7,7,1.000,.518,1,1,2,4,1,1,1,5,27,16.2,0.7,G-F,bryanko01
720,Kobe Bryant,2006-11-30,28-099,LAL,,UTA,W 132-102,1,34,19,26,.731,17,23,.739,2,3,.667,12,15,.800,.798,0,4,4,3,0,1,1,5,52,41.2,16.3,G-F,bryanko01
721,Kobe Bryant,2006-12-02,28-101,LAL,@,LAC,W 97-88,1,40,11,23,.478,11,19,.579,0,4,.000,7,8,.875,.547,1,4,5,3,1,0,7,3,29,13.7,-3.0,G-F,bryanko01
722,Kobe Bryant,2006-12-04,28-103,LAL,,IND,W 101-87,1,22,7,16,.438,4,8,.500,3,8,.375,4,4,1.000,.591,2,1,3,2,3,1,2,1,21,17.0,20.3,G-F,bryanko01
723,Kobe Bryant,2006-12-06,28-105,LAL,,NOK,L 89-105,1,37,10,17,.588,8,11,.727,2,6,.333,2,2,1.000,.671,0,2,2,4,2,0,1,3,24,19.3,7.0,G-F,bryanko01
724,Kobe Bryant,2006-12-10,28-109,LAL,,SAS,W 106-99,1,39,13,25,.520,9,20,.450,4,5,.800,4,4,1.000,.635,2,6,8,1,3,0,4,2,34,23.8,9.3,G-F,bryanko01
725,Kobe Bryant,2006-12-12,28-111,LAL,@,HOU,W 102-94,1,43,8,26,.308,6,18,.333,2,8,.250,5,6,.833,.402,0,8,8,7,1,0,4,3,23,10.7,-5.8,G-F,bryanko01
726,Kobe Bryant,2006-12-13,28-112,LAL,@,DAL,L 101-110,1,44,9,18,.500,8,12,.667,1,6,.167,14,17,.824,.648,2,5,7,4,2,1,4,3,33,26.0,9.7,G-F,bryanko01
727,Kobe Bryant,2006-12-15,28-114,LAL,,HOU,W 112-101 (2OT),1,54,17,38,.447,12,30,.400,5,8,.625,14,16,.875,.588,0,10,10,8,2,1,5,1,53,38.3,13.8,G-F,bryanko01
728,Kobe Bryant,2006-12-17,28-116,LAL,,WAS,L 141-147 (OT),1,47,15,24,.625,8,13,.615,7,11,.636,8,10,.800,.792,2,6,8,10,1,1,4,5,45,39.3,12.8,G-F,bryanko01
729,Kobe Bryant,2006-12-19,28-118,LAL,@,CHI,L 89-94,1,38,6,19,.316,6,14,.429,0,5,.000,7,8,.875,.422,0,3,3,4,0,1,4,6,19,5.7,-8.2,G-F,bryanko01
730,Kobe Bryant,2006-12-20,28-119,LAL,@,MIN,W 111-94,1,30,10,17,.588,10,16,.625,0,1,.000,4,6,.667,.611,0,3,3,6,2,1,2,2,24,20.3,9.9,G-F,bryanko01
731,Kobe Bryant,2006-12-22,28-121,LAL,@,NJN,W 99-95,1,40,4,13,.308,2,8,.250,2,5,.400,11,12,.917,.574,0,6,6,11,0,0,3,4,21,18.0,3.6,G-F,bryanko01
732,Kobe Bryant,2006-12-25,28-124,LAL,@,MIA,L 85-101,1,38,4,17,.235,4,13,.308,0,4,.000,8,9,.889,.382,0,2,2,4,1,0,3,4,16,5.1,-6.0,G-F,bryanko01
733,Kobe Bryant,2006-12-27,28-126,LAL,@,ORL,W 106-93,1,36,8,22,.364,8,19,.421,0,3,.000,11,12,.917,.495,0,3,3,7,2,1,3,4,27,18.3,1.8,G-F,bryanko01
734,Kobe Bryant,2006-12-29,28-128,LAL,@,CHA,L 124-133 (3OT),1,54,22,45,.489,18,34,.529,4,11,.364,10,12,.833,.577,0,5,5,4,0,0,4,6,58,32.4,5.6,G-F,bryanko01
735,Kobe Bryant,2006-12-31,28-130,LAL,,PHI,W 104-94,1,38,15,22,.682,12,16,.750,3,6,.500,2,2,1.000,.765,1,7,8,6,1,0,2,1,35,31.2,18.2,G-F,bryanko01
736,Kobe Bryant,2007-01-04,28-134,LAL,@,SAC,W 132-128 (OT),1,48,11,21,.524,8,16,.500,3,5,.600,17,20,.850,.705,3,7,10,9,0,0,4,5,42,35.0,10.3,G-F,bryanko01
737,Kobe Bryant,2007-01-05,28-135,LAL,,DEN,W 123-104,1,28,2,9,.222,1,5,.200,1,4,.250,3,4,.750,.372,1,4,5,10,0,0,3,3,8,6.8,-6.6,G-F,bryanko01
738,Kobe Bryant,2007-01-07,28-137,LAL,,DAL,W 101-98,1,41,9,20,.450,9,18,.500,0,2,.000,8,9,.889,.543,0,8,8,6,1,1,3,3,26,19.3,0.6,G-F,bryanko01
739,Kobe Bryant,2007-01-09,28-139,LAL,@,MEM,L 118-128,1,30,7,15,.467,5,9,.556,2,6,.333,9,9,1.000,.659,0,3,3,6,3,2,3,2,25,23.0,12.3,G-F,bryanko01
740,Kobe Bryant,2007-01-10,28-140,LAL,@,HOU,L 77-102,1,34,6,18,.333,6,15,.400,0,3,.000,8,9,.889,.455,1,5,6,1,1,0,2,2,20,10.5,-0.3,G-F,bryanko01
741,Kobe Bryant,2007-01-12,28-142,LAL,,ORL,W 109-106,1,40,9,15,.600,9,13,.692,0,2,.000,10,11,.909,.706,2,6,8,7,1,0,2,3,28,26.6,7.1,G-F,bryanko01
742,Kobe Bryant,2007-01-15,28-145,LAL,,MIA,W 124-118 (OT),1,44,11,24,.458,11,22,.500,0,2,.000,3,3,1.000,.494,1,3,4,8,0,1,1,2,25,18.7,-0.6,G-F,bryanko01
743,Kobe Bryant,2007-01-17,28-147,LAL,@,SAS,W 100-96,1,36,12,19,.632,12,17,.706,0,2,.000,10,11,.909,.713,0,6,6,8,1,0,7,2,34,25.7,10.9,G-F,bryanko01
744,Kobe Bryant,2007-01-18,28-148,LAL,@,DAL,L 95-114,1,34,8,18,.444,8,15,.533,0,3,.000,10,11,.909,.569,1,2,3,5,0,0,6,3,26,13.8,-3.2,G-F,bryanko01
745,Kobe Bryant,2007-01-20,28-150,LAL,@,NOK,L 103-113,1,39,7,22,.318,4,15,.267,3,7,.429,6,8,.750,.451,2,4,6,7,2,1,1,2,23,18.0,5.7,G-F,bryanko01
746,Kobe Bryant,2007-01-22,28-152,LAL,,GSW,W 108-103,1,39,11,22,.500,7,15,.467,4,7,.571,16,19,.842,.692,1,7,8,1,2,1,5,1,42,30.6,12.0,G-F,bryanko01
747,Kobe Bryant,2007-01-26,28-156,LAL,,CHA,L 97-106 (OT),1,50,10,24,.417,8,19,.421,2,5,.400,10,12,.833,.546,2,4,6,5,0,0,9,3,32,14.3,-2.6,G-F,bryanko01
748,Kobe Bryant,2007-01-28,28-158,LAL,,SAS,L 94-96 (OT),1,47,13,25,.520,12,23,.522,1,2,.500,4,5,.800,.570,0,6,6,7,1,1,3,2,31,22.9,9.9,G-F,bryanko01
749,Kobe Bryant,2007-01-31,28-161,LAL,@,BOS,W 111-98,1,42,13,25,.520,6,16,.375,7,9,.778,10,13,.769,.700,1,7,8,8,0,2,2,2,43,36.5,19.2,G-F,bryanko01
750,Kobe Bryant,2007-02-02,28-163,LAL,@,IND,L 84-95,1,40,7,25,.280,5,17,.294,2,8,.250,6,6,1.000,.398,0,5,5,4,5,0,4,1,22,12.2,2.2,G-F,bryanko01
751,Kobe Bryant,2007-02-03,28-164,LAL,@,WAS,W 118-102,1,44,14,26,.538,12,21,.571,2,5,.400,9,10,.900,.641,2,4,6,6,2,0,4,3,39,29.6,5.9,G-F,bryanko01
752,Kobe Bryant,2007-02-05,28-166,LAL,@,ATL,W 90-83,1,41,10,18,.556,8,13,.615,2,5,.400,5,6,.833,.654,1,5,6,4,3,0,3,3,27,21.8,11.5,G-F,bryanko01
753,Kobe Bryant,2007-02-08,28-169,LAL,@,DET,L 78-93,1,38,5,13,.385,3,8,.375,2,5,.400,6,6,1.000,.575,1,4,5,5,2,0,8,1,18,9.9,0.6,G-F,bryanko01
754,Kobe Bryant,2007-02-09,28-170,LAL,@,TOR,L 92-96,1,43,10,23,.435,9,19,.474,1,4,.250,4,4,1.000,.505,1,8,9,5,3,1,3,1,25,19.8,7.6,G-F,bryanko01
755,Kobe Bryant,2007-02-11,28-172,LAL,@,CLE,L 90-99,1,44,12,24,.500,11,19,.579,1,5,.200,11,11,1.000,.624,0,7,7,6,1,0,4,5,36,25.3,9.2,G-F,bryanko01
756,Kobe Bryant,2007-02-13,28-174,LAL,,NYK,L 106-107,1,38,9,20,.450,7,16,.438,2,4,.500,11,11,1.000,.624,3,4,7,4,2,0,1,1,31,27.3,12.8,G-F,bryanko01
757,Kobe Bryant,2007-02-15,28-176,LAL,,CLE,L 108-114,1,41,9,22,.409,7,15,.467,2,7,.286,14,15,.933,.594,1,5,6,5,2,0,6,3,34,22.3,5.1,G-F,bryanko01
758,Kobe Bryant,2007-02-21,28-182,LAL,,POR,L 108-112,1,40,8,22,.364,8,19,.421,0,3,.000,9,11,.818,.466,3,5,8,6,2,1,1,3,25,20.3,1.8,G-F,bryanko01
759,Kobe Bryant,2007-02-23,28-184,LAL,,BOS,W 122-96,1,31,13,23,.565,8,16,.500,5,7,.714,7,9,.778,.705,0,2,2,9,5,0,3,1,38,34.8,24.4,G-F,bryanko01
760,Kobe Bryant,2007-02-25,28-186,LAL,@,GSW,W 102-85,1,36,9,23,.391,7,15,.467,2,8,.250,6,7,.857,.498,1,5,6,6,3,0,4,2,26,17.7,4.5,G-F,bryanko01
761,Kobe Bryant,2007-02-26,28-187,LAL,@,UTA,W 102-94,1,44,7,21,.333,7,17,.412,0,4,.000,21,24,.875,.554,2,6,8,4,2,0,4,3,35,24.7,1.9,G-F,bryanko01
762,Kobe Bryant,2007-03-02,28-191,LAL,,SAC,L 108-116,1,41,10,22,.455,9,17,.529,1,5,.200,9,9,1.000,.578,0,4,4,10,0,0,1,3,30,24.6,4.6,G-F,bryanko01
763,Kobe Bryant,2007-03-04,28-193,LAL,@,PHO,L 94-99,1,45,11,28,.393,10,23,.435,1,5,.200,8,10,.800,.478,1,3,4,6,1,1,3,1,31,19.1,5.9,G-F,bryanko01
764,Kobe Bryant,2007-03-06,28-195,LAL,@,MIN,L 107-117 (2OT),1,53,13,30,.433,10,20,.500,3,10,.300,11,13,.846,.560,3,10,13,8,2,3,4,3,40,33.0,11.2,G-F,bryanko01
765,Kobe Bryant,2007-03-09,28-198,LAL,@,PHI,L 92-108,1,44,12,27,.444,9,20,.450,3,7,.429,3,3,1.000,.530,0,4,4,4,1,0,3,4,30,16.3,-1.0,G-F,bryanko01
766,Kobe Bryant,2007-03-11,28-200,LAL,,DAL,L 72-108,1,37,6,19,.316,6,17,.353,0,2,.000,13,18,.722,.464,2,7,9,3,0,0,5,1,25,12.3,0.6,G-F,bryanko01
767,Kobe Bryant,2007-03-15,28-204,LAL,@,DEN,L 86-113,1,38,9,19,.474,9,14,.643,0,5,.000,7,8,.875,.555,2,3,5,9,0,0,1,4,25,20.9,8.8,G-F,bryanko01
768,Kobe Bryant,2007-03-16,28-205,LAL,,POR,W 116-111 (OT),1,50,23,39,.590,15,27,.556,8,12,.667,11,12,.917,.734,1,6,7,3,3,0,2,3,65,50.9,21.4,G-F,bryanko01
769,Kobe Bryant,2007-03-18,28-207,LAL,,MIN,W 109-102,1,45,17,35,.486,13,26,.500,4,9,.444,12,14,.857,.607,1,5,6,3,3,0,3,1,50,35.4,7.1,G-F,bryanko01
770,Kobe Bryant,2007-03-22,28-211,LAL,@,MEM,W 121-119,1,45,20,37,.541,17,30,.567,3,7,.429,17,18,.944,.668,2,3,5,4,0,0,2,4,60,43.2,8.4,G-F,bryanko01
771,Kobe Bryant,2007-03-23,28-212,LAL,@,NOK,W 111-105,1,47,16,29,.552,14,24,.583,2,5,.400,16,16,1.000,.694,1,6,7,1,0,1,1,2,50,38.2,11.4,G-F,bryanko01
772,Kobe Bryant,2007-03-25,28-214,LAL,,GSW,W 115-113,1,46,15,33,.455,11,22,.500,4,11,.364,9,11,.818,.568,4,5,9,0,1,1,7,2,43,23.3,0.4,G-F,bryanko01
773,Kobe Bryant,2007-03-27,28-216,LAL,,MEM,L 86-88,1,44,7,26,.269,4,19,.211,3,7,.429,6,9,.667,.384,3,2,5,5,3,0,1,0,23,14.6,2.0,G-F,bryanko01
774,Kobe Bryant,2007-03-30,28-219,LAL,,HOU,L 104-107 (OT),1,48,19,44,.432,16,35,.457,3,9,.333,12,14,.857,.528,1,1,2,2,0,0,3,2,53,27.6,9.3,G-F,bryanko01
775,Kobe Bryant,2007-04-01,28-221,LAL,,SAC,W 126-103,1,38,6,14,.429,5,12,.417,1,2,.500,6,6,1.000,.571,0,2,2,13,3,1,4,1,19,20.6,5.9,G-F,bryanko01
776,Kobe Bryant,2007-04-03,28-223,LAL,,DEN,L 105-111,1,45,14,31,.452,14,26,.538,0,5,.000,11,11,1.000,.544,0,3,3,4,0,3,3,3,39,24.5,5.2,G-F,bryanko01
777,Kobe Bryant,2007-04-04,28-224,LAL,@,LAC,L 82-90,1,45,13,34,.382,13,31,.419,0,3,.000,3,4,.750,.405,0,7,7,3,2,2,4,3,29,12.4,0.0,G-F,bryanko01
778,Kobe Bryant,2007-04-06,28-226,LAL,@,SEA,W 112-109,1,41,13,27,.481,12,23,.522,1,4,.250,19,24,.792,.612,1,4,5,6,3,1,1,2,46,38.3,13.6,G-F,bryanko01
779,Kobe Bryant,2007-04-08,28-228,LAL,,PHO,L 107-115,1,44,14,25,.560,13,20,.650,1,5,.200,5,5,1.000,.625,0,3,3,7,1,1,5,2,34,23.8,7.1,G-F,bryanko01
780,Kobe Bryant,2007-04-09,28-229,LAL,@,DEN,L 111-115,1,46,9,30,.300,8,25,.320,1,5,.200,4,5,.800,.357,0,5,5,10,1,0,4,1,23,10.3,-5.7,G-F,bryanko01
781,Kobe Bryant,2007-04-12,28-232,LAL,,LAC,L 110-118,1,48,17,33,.515,16,29,.552,1,4,.250,15,15,1.000,.631,0,9,9,1,2,0,3,3,50,34.9,5.4,G-F,bryanko01
782,Kobe Bryant,2007-04-13,28-233,LAL,@,PHO,L 85-93,1,42,7,26,.269,6,20,.300,1,6,.167,2,2,1.000,.316,1,5,6,4,1,1,2,2,17,5.5,-3.9,G-F,bryanko01
783,Kobe Bryant,2007-04-15,28-235,LAL,,SEA,W 109-98,1,42,18,25,.720,15,19,.789,3,6,.500,11,13,.846,.814,2,6,8,3,2,0,1,2,50,44.4,23.1,G-F,bryanko01
784,Kobe Bryant,2007-04-18,28-238,LAL,@,SAC,W 117-106,1,34,12,19,.632,12,17,.706,0,2,.000,10,12,.833,.700,1,6,7,6,1,0,1,4,34,29.8,12.8,G-F,bryanko01
785,Kobe Bryant,2007-10-30,29-068,LAL,,HOU,L 93-95,1,43,13,32,.406,12,29,.414,1,3,.333,18,27,.667,.513,0,8,8,4,4,1,5,4,45,27.5,10.7,G-F,bryanko01
786,Kobe Bryant,2007-11-02,29-071,LAL,@,PHO,W 119-98,1,28,6,15,.400,5,12,.417,1,3,.333,3,3,1.000,.490,3,8,11,4,3,0,5,0,16,13.2,2.6,G-F,bryanko01
787,Kobe Bryant,2007-11-04,29-073,LAL,,UTA,W 119-109,1,43,13,19,.684,12,17,.706,1,2,.500,6,8,.750,.733,0,6,6,3,3,2,5,4,33,25.8,6.8,G-F,bryanko01
788,Kobe Bryant,2007-11-06,29-075,LAL,,NOH,L 104-118,1,37,11,20,.550,9,14,.643,2,6,.333,4,4,1.000,.643,1,5,6,7,0,3,4,5,28,21.6,7.0,G-F,bryanko01
789,Kobe Bryant,2007-11-09,29-078,LAL,,MIN,W 107-93,1,40,9,19,.474,6,11,.545,3,8,.375,9,10,.900,.641,1,6,7,7,4,0,5,1,30,25.9,11.0,G-F,bryanko01
790,Kobe Bryant,2007-11-13,29-082,LAL,@,SAS,L 92-107,1,38,9,19,.474,9,14,.643,0,5,.000,0,0,,.474,0,9,9,5,2,3,3,1,18,15.2,5.5,G-F,bryanko01
791,Kobe Bryant,2007-11-14,29-083,LAL,@,HOU,W 93-90,1,38,11,23,.478,9,18,.500,2,5,.400,6,6,1.000,.585,1,7,8,5,1,1,4,2,30,21.5,10.3,G-F,bryanko01
792,Kobe Bryant,2007-11-16,29-085,LAL,,DET,W 103-91,1,37,6,18,.333,4,14,.286,2,4,.500,5,5,1.000,.470,0,4,4,7,1,0,2,2,19,13.1,2.8,G-F,bryanko01
793,Kobe Bryant,2007-11-18,29-087,LAL,,CHI,W 106-78,1,32,6,16,.375,6,14,.429,0,2,.000,6,7,.857,.472,0,5,5,3,3,0,4,1,18,11.0,-0.1,G-F,bryanko01
794,Kobe Bryant,2007-11-20,29-089,LAL,@,IND,W 134-114,1,31,8,16,.500,3,7,.429,5,9,.556,11,11,1.000,.768,0,6,6,4,1,0,2,3,32,26.4,8.4,G-F,bryanko01
