"","Date","Opp","Result","GS","MP","FG","FGA","TwoP","TwoPA","ThreeP","ThreePA","FT","FTA","FTper","TSper","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","BPM"
"256","2000-03-26","SAC","W 90-89",TRUE,44,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(0.694,1.89]","(-0.959,-0.0421]","(-1.83,-0.244]","(3.17,4.55]","(1.48,2.56]","(2.71,3.88]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"257","2000-03-29","VAN","W 108-99",TRUE,43,"(0.593,2.09]","(-1.46,-0.00504]","(1.43,2.63]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","(1.61,2.47]","(-0.793,0.779]","(-0.439,0.949]"
"258","2000-03-31","PHI","W 100-88",TRUE,37,"[-2.4,-0.9]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","(1.48,2.56]","(0.373,1.54]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","[-2.37,-0.793]","(-1.83,-0.439]"
"259","2000-04-02","NYK","W 106-82",TRUE,29,"[-2.4,-0.9]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(0.399,1.48]","(-0.794,0.373]","(0.715,1.95]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","[-2.37,-0.793]","(-0.439,0.949]"
"260","2000-04-05","GSW","W 111-104",TRUE,42,"[-2.4,-0.9]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","(1.95,3.18]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(0.753,1.61]","[-2.37,-0.793]","(-1.83,-0.439]"
"261","2000-04-08","SAS","L 80-98",TRUE,39,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(1.23,2.49]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-1.88,-0.959]","(-1.83,-0.244]","(0.398,1.78]","(-0.679,0.399]","(0.373,1.54]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"262","2000-04-10","SEA","W 106-103 (OT)",TRUE,45,"(0.593,2.09]","(-0.00504,1.45]","(1.43,2.63]","(1.23,2.49]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-1.83,-0.244]","(0.398,1.78]","(0.399,1.48]","(1.54,2.71]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","(1.61,2.47]","(-0.793,0.779]","(-0.439,0.949]"
"263","2000-04-14","SAC","W 121-114",TRUE,40,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","(-0.504,0.694]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(1.01,2.1]","(2,3.32]","[-1.63,-0.45]","[-1.82,-0.958]","(-0.793,0.779]","(0.949,2.34]"
"264","2000-04-16","MIN","W 101-95",TRUE,41,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(0.715,1.95]","(-0.069,1.01]","[-0.65,0.68]","(0.723,1.9]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"265","2000-04-18","DAL","L 102-112",TRUE,43,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","(4.55,5.95]","(0.399,1.48]","(2.71,3.88]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","(0.723,1.9]","(-0.102,0.753]","[-2.37,-0.793]","(-1.83,-0.439]"
"266","2000-04-19","SAS","L 98-103 (OT)",TRUE,43,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.959,-0.0421]","(-1.83,-0.244]","(3.17,4.55]","[-1.76,-0.679]","(0.373,1.54]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(1.61,2.47]","(-0.793,0.779]","(-0.439,0.949]"
"267","2000-10-31","POR","W 96-86",TRUE,35,"[-2.4,-0.9]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(1.9,3.07]","(0.753,1.61]","[-2.37,-0.793]","[-3.22,-1.83]"
"268","2000-11-01","UTA","L 92-97",TRUE,37,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","(-0.793,0.779]","(-0.439,0.949]"
"269","2000-11-04","VAN","W 98-89",TRUE,40,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.959,-0.0421]","(-1.83,-0.244]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","(2.1,3.18]","(0.68,2]","(0.723,1.9]","(-0.102,0.753]","(-0.793,0.779]","(-0.439,0.949]"
"270","2000-11-05","LAC","W 108-103",TRUE,41,"(-0.9,0.593]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"271","2000-11-07","HOU","L 74-84",TRUE,47,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","[-3.71,-2.79]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","[-2.37,-0.793]","(-0.439,0.949]"
"272","2000-11-08","SAS","L 81-91",TRUE,46,"(0.593,2.09]","(1.45,2.91]","(1.43,2.63]","(1.23,2.49]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(0.715,1.95]","(1.01,2.1]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"273","2000-11-12","HOU","W 105-99",TRUE,44,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(1.23,2.49]","[-0.948,0.677]","[-1.46,-0.00954]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-1.83,-0.244]","(0.398,1.78]","(0.399,1.48]","(1.54,2.71]","[-1.76,-0.517]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","(1.61,2.47]","(0.779,2.35]","(-0.439,0.949]"
"274","2000-11-14","DEN","W 119-103",TRUE,39,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","[-1.76,-0.679]","(-0.794,0.373]","(0.715,1.95]","(-0.069,1.01]","[-0.65,0.68]","(-0.45,0.723]","(0.753,1.61]","(-0.793,0.779]","(-0.439,0.949]"
"275","2000-11-16","SAC","W 112-110 (OT)",TRUE,49,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(1.48,2.56]","(1.54,2.71]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(0.753,1.61]","(-0.793,0.779]","(-1.83,-0.439]"
"276","2000-11-18","DEN","L 86-87",TRUE,44,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","(0.677,2.29]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"277","2000-11-19","CHI","W 104-96",TRUE,39,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-1.83,-0.244]","[-0.995,0.398]","(2.56,3.64]","(1.54,2.71]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","(-0.793,0.779]","(-1.83,-0.439]"
"278","2000-11-22","GSW","W 111-91",TRUE,30,"(0.593,2.09]","(-1.46,-0.00504]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.959,-0.0421]","(1.34,2.92]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(0.715,1.95]","[-1.16,-0.069]","[-0.65,0.68]","(1.9,3.07]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"279","2000-11-24","MIN","W 115-108",TRUE,38,"(0.593,2.09]","(-1.46,-0.00504]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"280","2000-11-27","LAC","W 98-83",TRUE,32,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(-0.679,0.399]","(0.373,1.54]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","(-0.793,0.779]","(0.949,2.34]"
"281","2000-11-28","IND","W 124-107",TRUE,37,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","(0.677,2.29]","(-0.00954,1.44]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","(0.779,2.35]","(-0.439,0.949]"
"282","2000-11-30","SEA","L 88-121",TRUE,37,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(-0.517,0.715]","(1.01,2.1]","[-0.65,0.68]","(0.723,1.9]","(1.61,2.47]","[-2.37,-0.793]","(-1.83,-0.439]"
"283","2000-12-01","SAS","W 109-100",TRUE,45,"(0.593,2.09]","(1.45,2.91]","(1.43,2.63]","(1.23,2.49]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.102,0.753]","(0.779,2.35]","(-0.439,0.949]"
"284","2000-12-03","DAL","W 99-97",TRUE,45,"(0.593,2.09]","(-0.00504,1.45]","(1.43,2.63]","(1.23,2.49]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-0.244,1.34]","(1.78,3.17]","(0.399,1.48]","(1.54,2.71]","(-0.517,0.715]","(-0.069,1.01]","(0.68,2]","(0.723,1.9]","(0.753,1.61]","(0.779,2.35]","(0.949,2.34]"
"285","2000-12-05","PHI","W 96-85",TRUE,44,"(0.593,2.09]","(-0.00504,1.45]","(1.43,2.63]","(1.23,2.49]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(0.753,1.61]","(0.779,2.35]","(-0.439,0.949]"
"286","2000-12-06","GSW","L 122-125 (OT)",TRUE,51,"(2.09,3.58]","(1.45,2.91]","(1.43,2.63]","(1.23,2.49]","[-0.948,0.677]","(-0.00954,1.44]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(-0.679,0.399]","(0.373,1.54]","(0.715,1.95]","(-0.069,1.01]","[-0.65,0.68]","(1.9,3.07]","(0.753,1.61]","(2.35,3.92]","(-0.439,0.949]"
"287","2000-12-08","SEA","L 95-103",TRUE,40,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(1.23,2.49]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-1.88,-0.959]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","(0.753,1.61]","(-0.793,0.779]","(-1.83,-0.439]"
"288","2000-12-10","DET","W 112-88",TRUE,34,"(-0.9,0.593]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(0.715,1.95]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","(-0.793,0.779]","(0.949,2.34]"
"289","2000-12-12","MIL","L 105-109",TRUE,41,"(-0.9,0.593]","(1.45,2.91]","(-0.964,0.234]","(-0.0334,1.23]","(0.677,2.29]","(1.44,2.88]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","(-0.45,0.723]","(-0.102,0.753]","(-0.793,0.779]","(-1.83,-0.439]"
"290","2000-12-13","POR","L 86-96",TRUE,45,"(0.593,2.09]","(-0.00504,1.45]","(1.43,2.63]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(0.694,1.89]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","(1.61,2.47]","(0.779,2.35]","(0.949,2.34]"
"291","2000-12-15","VAN","W 98-76",TRUE,35,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","[-2.37,-0.793]","(-1.83,-0.439]"
"292","2000-12-17","TOR","W 104-101 (OT)",TRUE,52,"(0.593,2.09]","(-0.00504,1.45]","(1.43,2.63]","(1.23,2.49]","[-0.948,0.677]","(-0.00954,1.44]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(0.399,1.48]","(0.373,1.54]","(-0.517,0.715]","[-1.16,-0.069]","(2,3.32]","[-1.63,-0.45]","(-0.102,0.753]","(0.779,2.35]","(-0.439,0.949]"
"293","2000-12-19","MIA","W 81-79",TRUE,45,"(-0.9,0.593]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-1.83,-0.244]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(0.753,1.61]","(-0.793,0.779]","(-1.83,-0.439]"
"294","2000-12-21","HOU","W 99-94",TRUE,44,"(2.09,3.58]","(-0.00504,1.45]","(2.63,3.83]","(1.23,2.49]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","(-0.504,0.694]","(-0.959,-0.0421]","(1.34,2.92]","(0.398,1.78]","[-1.76,-0.679]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","(0.779,2.35]","(0.949,2.34]"
"295","2000-12-22","DAL","W 108-103",TRUE,46,"(0.593,2.09]","(-1.46,-0.00504]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(0.705,1.87]","(-0.504,0.694]","(-0.0421,0.879]","(1.34,2.92]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(0.723,1.9]","(1.61,2.47]","(0.779,2.35]","(-0.439,0.949]"
"296","2000-12-25","POR","L 104-109",TRUE,46,"(-0.9,0.593]","(-1.46,-0.00504]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(0.705,1.87]","(0.694,1.89]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","(1.61,2.47]","(-0.793,0.779]","(-0.439,0.949]"
"297","2000-12-28","PHO","W 115-78",TRUE,33,"(0.593,2.09]","(-1.46,-0.00504]","(0.234,1.43]","(-0.0334,1.23]","(0.677,2.29]","[-1.46,-0.00954]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(1.34,2.92]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","(0.779,2.35]","(0.949,2.34]"
"298","2000-12-30","LAC","W 116-114 (OT)",TRUE,34,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-1.88,-0.959]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","[-2.37,-0.793]","(-1.83,-0.439]"
"299","2001-01-03","UTA","W 82-71",TRUE,45,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(1.01,2.1]","[-0.65,0.68]","(0.723,1.9]","(1.61,2.47]","(-0.793,0.779]","(-0.439,0.949]"
"300","2001-01-07","LAC","L 95-118",TRUE,45,"(-0.9,0.593]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(1.01,2.1]","[-0.65,0.68]","(-0.45,0.723]","(1.61,2.47]","(-0.793,0.779]","(-1.83,-0.439]"
"301","2001-01-12","CLE","W 101-98",TRUE,42,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(-0.069,1.01]","(0.68,2]","(-0.45,0.723]","(1.61,2.47]","(-0.793,0.779]","(-0.439,0.949]"
"302","2001-01-13","UTA","L 103-111",TRUE,46,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-1.83,-0.244]","(0.398,1.78]","(0.399,1.48]","(0.373,1.54]","(-0.517,0.715]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","(1.61,2.47]","(-0.793,0.779]","(-1.83,-0.439]"
"303","2001-01-15","VAN","W 113-112 (OT)",TRUE,46,"(-0.9,0.593]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-1.83,-0.244]","[-0.995,0.398]","(2.56,3.64]","(1.54,2.71]","(1.95,3.18]","(-0.069,1.01]","(0.68,2]","(-0.45,0.723]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"304","2001-01-19","HOU","W 114-101",TRUE,39,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","(-0.793,0.779]","(-0.439,0.949]"
"305","2001-01-21","MIA","L 92-103",TRUE,45,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(1.23,2.49]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(0.399,1.48]","(0.373,1.54]","[-1.76,-0.517]","(2.1,3.18]","[-0.65,0.68]","(0.723,1.9]","(1.61,2.47]","(0.779,2.35]","(-0.439,0.949]"
"306","2001-01-23","SEA","L 80-91",TRUE,43,"[-2.4,-0.9]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","(-0.00954,1.44]","(0.705,1.87]","(0.694,1.89]","(-0.959,-0.0421]","(-1.83,-0.244]","(0.398,1.78]","(-0.679,0.399]","(0.373,1.54]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","(-0.793,0.779]","(-0.439,0.949]"
"307","2001-01-26","NJN","W 113-101",TRUE,42,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(1.48,2.56]","(0.373,1.54]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","(-0.793,0.779]","(-1.83,-0.439]"
"308","2001-01-28","NYK","L 81-91",TRUE,42,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(1.23,2.49]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(0.694,1.89]","(-0.959,-0.0421]","(-1.83,-0.244]","(0.398,1.78]","(1.48,2.56]","(1.54,2.71]","[-1.76,-0.517]","(-0.069,1.01]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"309","2001-01-30","CLE","W 102-96",TRUE,41,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(1.23,2.49]","[-0.948,0.677]","[-1.46,-0.00954]","(3.04,4.22]","(3.09,4.3]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","(1.01,2.1]","[-0.65,0.68]","(1.9,3.07]","(-0.102,0.753]","(0.779,2.35]","(-0.439,0.949]"
