"","Date","Opp","Result","GS","MP","FG","FGA","TwoP","TwoPA","ThreeP","ThreePA","FT","FTA","FTper","TSper","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","BPM"
"600","2005-02-25","DET","L 90-111",TRUE,40,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(1.95,3.18]","[-1.16,-0.069]","[-0.65,0.68]","(0.723,1.9]","(0.753,1.61]","(-0.793,0.779]","(-0.439,0.949]"
"601","2005-02-27","TOR","L 102-108",TRUE,42,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-0.244,1.34]","(0.398,1.78]","(0.399,1.48]","(0.373,1.54]","(0.715,1.95]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(0.753,1.61]","(-0.793,0.779]","(-1.83,-0.439]"
"602","2005-02-28","NYK","L 115-117 (OT)",TRUE,46,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","(-0.00954,1.44]","(1.87,3.04]","(1.89,3.09]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","(0.715,1.95]","[-1.16,-0.069]","(0.68,2]","(1.9,3.07]","(0.753,1.61]","(-0.793,0.779]","(-0.439,0.949]"
"603","2005-03-02","BOS","L 101-104",TRUE,40,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(1.61,2.47]","(-0.793,0.779]","(-1.83,-0.439]"
"604","2005-03-04","DAL","W 108-103",TRUE,44,"(0.593,2.09]","(-0.00504,1.45]","(1.43,2.63]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(1.87,3.04]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(0.399,1.48]","(0.373,1.54]","(-0.517,0.715]","(-0.069,1.01]","(0.68,2]","(-0.45,0.723]","(-0.102,0.753]","(0.779,2.35]","(-0.439,0.949]"
"605","2005-03-06","IND","W 103-94",TRUE,39,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(1.48,2.56]","(1.54,2.71]","[-1.76,-0.517]","(-0.069,1.01]","[-0.65,0.68]","(0.723,1.9]","(-0.102,0.753]","(0.779,2.35]","(-0.439,0.949]"
"606","2005-03-08","LAC","L 101-110",TRUE,43,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(1.87,3.04]","(0.694,1.89]","(-0.0421,0.879]","(1.34,2.92]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.102,0.753]","(0.779,2.35]","(-0.439,0.949]"
"607","2005-03-10","DAL","W 100-95",TRUE,44,"(0.593,2.09]","(-0.00504,1.45]","(1.43,2.63]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(1.48,2.56]","(0.373,1.54]","[-1.76,-0.517]","[-1.16,-0.069]","(0.68,2]","(-0.45,0.723]","(-0.102,0.753]","(0.779,2.35]","(0.949,2.34]"
"608","2005-03-12","CHA","W 117-116",TRUE,44,"(0.593,2.09]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","(0.677,2.29]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","[-1.76,-0.679]","(-0.794,0.373]","(0.715,1.95]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"609","2005-03-14","WAS","L 81-95",TRUE,41,"(-0.9,0.593]","(-0.00504,1.45]","[-2.17,-0.964]","(-1.29,-0.0334]","(0.677,2.29]","(1.44,2.88]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","(0.398,1.78]","[-1.76,-0.679]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"610","2005-03-15","PHI","L 91-108",TRUE,35,"(-0.9,0.593]","(-1.46,-0.00504]","[-2.17,-0.964]","[-2.56,-1.29]","(0.677,2.29]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","[-1.97,-0.794]","[-1.76,-0.517]","(-0.069,1.01]","[-0.65,0.68]","(-0.45,0.723]","(-0.102,0.753]","(-0.793,0.779]","(-1.83,-0.439]"
"611","2005-03-17","MIA","L 89-102",TRUE,45,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","(3.17,4.55]","(-0.679,0.399]","(1.54,2.71]","[-1.76,-0.517]","(1.01,2.1]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"612","2005-03-18","IND","L 97-103",TRUE,29,"[-2.4,-0.9]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-1.88,-0.959]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(0.753,1.61]","[-2.37,-0.793]","(-1.83,-0.439]"
