Date,Sep,Opp,WL,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1981-11-09,@,CLE,L,101,102,105.1,106.2,96.1,.311,.027,.600,41.4,53.7,6.2,7.7,.554,19.2,16.7,.257,.457,12.8,60.0,.196
1981-11-10,,KCK,W,119,107,,,,.381,.024,.607,54.8,54.5,,7.4,.536,17.6,,.345,.484,13.4,,.158
1981-11-11,@,PHI,L,90,117,85.2,110.7,105.7,.214,.000,.490,44.7,70.3,9.5,8.3,.440,23.3,24.4,.190,.588,18.8,68.6,.200
1981-11-14,@,WSB,L,99,104,104.1,109.4,95.1,.309,.111,.538,59.3,50.0,5.3,9.6,.488,21.4,43.2,.247,.542,12.3,72.7,.169
1981-11-17,,BOS,L,95,98,108.4,111.8,87.7,.170,.043,.470,54.7,61.0,5.7,8.3,.436,10.6,43.1,.138,.494,11.7,68.2,.286
1981-11-20,,UTA,L,103,105,107.9,110.0,95.5,.349,.024,.538,52.9,58.5,5.2,11.4,.494,15.1,34.1,.253,.475,10.9,70.5,.363
1981-11-21,,WSB,W,117,105,124.7,111.9,93.8,.325,.013,.665,63.9,70.2,2.1,3.9,.610,15.4,30.0,.299,.524,9.0,88.1,.232
1981-11-24,@,SDC,W,109,102,109.6,102.5,99.5,.493,.000,.597,47.5,50.0,8.0,7.6,.507,18.0,24.2,.440,.476,15.3,63.8,.247
1981-11-27,@,PHO,L,107,111,107.2,111.2,99.8,.383,.025,.565,48.8,78.0,6.0,6.9,.512,16.0,22.9,.296,.472,11.2,67.3,.303
1981-11-29,@,POR,L,109,114,109.2,114.2,99.8,.310,.028,.676,52.7,71.7,8.0,6.9,.648,26.4,33.3,.239,.477,11.7,62.0,.341
1981-12-01,@,SEA,L,87,103,85.1,100.8,102.2,.392,.038,.470,48.1,62.5,11.7,4.9,.405,20.6,25.0,.291,.500,19.1,71.8,.241
1981-12-02,@,GSW,L,119,120,114.3,115.2,104.1,.672,.000,.753,42.3,58.1,10.6,5.1,.705,27.5,28.6,.541,.515,17.0,48.0,.147
1981-12-04,@,UTA,W,105,101,110.5,106.3,95.0,.538,.000,.544,51.7,55.0,7.4,6.6,.513,12.7,35.0,.321,.457,10.4,65.3,.160
1981-12-08,,IND,W,118,116,,,,.314,.012,.603,57.9,55.3,,7.5,.547,19.7,,.279,.479,9.0,,.263
1981-12-11,,HOU,W,118,105,126.9,112.9,93.0,.487,.000,.623,58.4,65.1,5.4,9.5,.551,15.2,48.5,.410,.460,6.9,64.3,.141
1981-12-12,,PHI,L,114,117,107.4,110.2,96.2,.381,.021,.503,58.4,45.2,9.4,7.1,.438,14.4,46.3,.299,.488,13.7,72.3,.384
1981-12-15,,CLE,W,98,89,99.0,89.9,99.0,.625,.000,.600,56.3,65.7,9.1,8.2,.547,22.7,20.6,.438,.433,14.2,79.2,.122
1981-12-16,@,NJN,W,98,97,96.5,95.5,92.0,.315,.011,.484,51.6,44.7,7.9,10.5,.427,14.4,29.8,.247,.432,11.0,73.9,.158
1981-12-18,@,NYK,L,106,121,112.2,128.1,94.5,.474,.092,.577,41.3,63.9,5.3,3.5,.493,14.0,23.5,.408,.615,11.1,62.1,.161
1981-12-19,@,HOU,L,95,102,112.8,121.2,84.2,.269,.051,.544,42.5,71.8,9.5,3.3,.513,14.7,41.2,.192,.467,11.3,43.5,.174
1981-12-22,,WSB,W,92,90,99.1,97.0,92.8,.225,.025,.523,48.9,74.4,6.5,10.6,.500,16.2,25.6,.150,.466,13.9,70.2,.103
1981-12-26,@,DET,L,94,96,91.9,93.8,102.3,.329,.027,.562,48.3,72.5,11.7,4.4,.548,23.0,20.0,.192,.418,16.2,67.3,.220
1981-12-27,@,MIL,L,96,108,100.7,113.2,95.4,.353,.071,.489,46.8,58.3,5.2,1.1,.429,13.3,32.0,.271,.489,11.3,63.6,.196
1981-12-29,,NYK,L,108,111,108.3,111.3,99.7,.380,.051,.586,58.7,73.2,8.0,4.1,.525,20.7,37.5,.316,.573,15.9,82.9,.333
1982-01-02,,MIL,L,121,128,,,,.449,.056,.568,46.3,48.9,,8.6,.511,17.1,,.337,.652,20.9,,.256
1982-01-05,,DEN,W,134,128,122.6,117.1,109.3,.356,.011,.644,59.0,64.3,7.3,8.0,.622,14.7,38.5,.244,.547,12.1,77.3,.253
1982-01-06,@,BOS,W,116,102,,,,.484,.022,.526,51.1,56.1,,7.4,.451,14.0,,.374,.468,15.0,,.149
1982-01-08,,LAL,W,119,113,111.8,106.2,106.4,.448,.011,.571,56.8,68.9,12.2,5.6,.517,16.1,43.2,.333,.516,16.8,70.5,.209
1982-01-12,,DET,L,111,122,100.5,110.4,110.5,.279,.140,.575,52.7,69.8,7.2,2.1,.523,23.7,36.6,.244,.500,15.2,66.0,.245
1982-01-14,@,NJN,L,104,130,99.3,124.1,104.8,.519,.025,.523,47.0,44.1,10.5,8.3,.420,22.6,41.3,.444,.588,13.7,54.1,.165
1982-01-15,@,WSB,L,90,93,90.0,93.0,100.0,.187,.022,.457,51.6,53.8,4.0,12.9,.434,16.9,32.0,.121,.448,14.0,74.4,.186
1982-01-17,@,IND,L,103,116,105.0,118.3,98.1,.289,.078,.508,48.3,67.5,9.2,2.8,.461,13.6,34.0,.222,.574,16.4,70.6,.419
1982-01-19,,IND,W,110,100,120.7,109.7,91.1,.313,.175,.604,52.4,70.5,9.9,4.8,.550,14.2,36.8,.275,.494,12.9,65.2,.188
1982-01-22,,CLE,W,108,93,116.1,100.0,93.0,.429,.000,.649,65.1,65.9,5.4,6.6,.629,20.2,40.6,.286,.457,7.6,80.4,.098
1982-01-23,@,NYK,W,140,139,126.9,126.0,99.9,.479,.031,.602,48.7,52.0,7.3,3.5,.531,10.7,32.6,.396,.592,12.3,68.6,.414
1982-01-26,@,WSB,L,84,94,88.1,98.6,95.3,.242,.077,.417,48.3,29.4,7.3,6.8,.385,10.6,25.9,.154,.507,17.6,82.9,.224
1982-01-28,,GSW,L,110,111,111.1,112.1,99.1,.587,.053,.583,55.6,56.8,8.1,7.0,.500,19.6,40.0,.467,.478,11.2,68.0,.264
1982-02-02,,NJN,L,112,116,112.1,116.1,99.9,.554,.024,.542,57.8,66.7,8.0,8.8,.476,13.4,44.9,.398,.549,14.9,76.5,.333
1982-02-03,@,MIL,L,98,113,,,,.372,.013,.540,46.3,65.8,,3.2,.487,20.2,,.282,.598,22.3,,.515
1982-02-05,,DET,L,103,110,102.4,109.4,100.5,.261,.034,.525,49.4,55.8,6.0,11.3,.489,14.8,27.3,.193,.550,17.2,75.7,.275
1982-02-07,@,PHI,L,107,123,110.2,126.7,97.1,.560,.067,.572,45.6,64.1,6.2,10.4,.520,13.8,30.0,.387,.566,11.1,61.5,.122
1982-02-09,@,DET,L,123,128,113.9,118.5,97.8,.239,.011,.605,51.6,57.4,4.6,8.0,.587,17.1,28.1,.163,.609,14.7,75.0,.253
1982-02-10,,ATL,W,91,73,,,,.487,.013,.480,57.8,63.6,,12.7,.423,,,.321,.350,,,.213
1982-02-13,,MIL,L,90,120,95.0,126.7,94.7,.312,.108,.425,51.6,72.7,7.4,4.7,.371,15.9,51.7,.226,.612,17.1,51.4,.124
1982-02-16,,PHO,L,86,91,90.7,96.0,94.8,.191,.045,.446,46.8,67.6,11.6,7.2,.416,11.9,24.5,.135,.549,21.8,83.3,.183
1982-02-17,@,NJN,L,105,115,110.9,121.4,94.7,.403,.065,.579,47.9,48.7,8.4,4.7,.519,18.8,35.0,.325,.535,11.0,64.5,.267
1982-02-21,,DAL,L,97,113,98.2,114.4,98.8,.313,.036,.514,56.8,43.2,3.0,6.1,.458,18.9,34.9,.253,.571,11.2,81.6,.188
1982-02-23,,POR,W,123,122,115.3,114.4,106.6,.357,.000,.633,60.3,72.0,10.3,4.5,.595,17.8,36.1,.274,.543,14.3,81.0,.239
1982-02-26,@,ATL,W,116,110,,,,.266,.032,.552,56.0,51.0,,5.7,.527,18.0,,.181,.450,8.6,,.110
1982-02-28,,SAS,W,118,104,125.1,110.2,94.4,.333,.000,.572,51.1,42.9,5.3,8.4,.544,8.0,35.6,.222,.442,10.7,66.0,.326
1982-03-02,,PHI,W,112,109,119.6,116.4,93.6,.606,.028,.623,47.7,62.5,9.6,6.6,.570,18.9,44.4,.437,.464,10.7,50.0,.208
1982-03-04,@,DET,L,97,122,,,,.402,.024,.502,50.5,63.9,,5.3,.439,18.6,,.305,.525,10.4,,.182
1982-03-05,,NJN,L,90,107,90.4,107.5,99.5,.479,.055,.509,40.0,58.1,14.1,5.7,.432,18.5,18.6,.370,.511,17.5,59.6,.193
1982-03-07,@,KCK,L,122,124,108.0,109.8,93.5,.596,.021,.514,64.6,43.6,4.4,5.7,.420,16.8,51.9,.457,.524,12.5,78.7,.133
1982-03-09,,SEA,W,109,104,107.7,102.8,101.2,.442,.023,.531,54.8,56.4,4.0,8.0,.453,14.2,32.0,.360,.473,9.6,75.9,.172
1982-03-10,@,MIL,W,101,98,108.3,105.1,93.3,.303,.000,.586,55.0,52.5,4.3,2.3,.526,21.1,41.7,.276,.456,12.4,65.9,.165
1982-03-12,@,LAL,W,111,105,106.7,100.9,104.0,.288,.038,.616,54.4,73.9,5.8,2.9,.588,21.0,34.8,.213,.463,14.6,64.4,.056
1982-03-14,@,SAS,L,117,119,117.4,119.4,99.7,.429,.060,.586,48.5,64.3,5.0,1.9,.518,11.5,34.1,.357,.481,8.5,58.6,.171
1982-03-17,@,DAL,W,102,92,103.1,93.0,98.9,.363,.025,.550,58.5,62.5,10.1,6.1,.500,18.5,32.4,.275,.459,15.5,80.0,.165
1982-03-19,@,DEN,L,120,130,109.5,118.6,109.6,.216,.114,.623,49.4,64.7,4.6,10.0,.591,21.2,26.7,.182,.520,10.9,63.8,.260
1982-03-21,@,CLE,W,98,93,103.8,98.5,94.4,.316,.025,.544,48.8,79.5,5.3,6.7,.500,16.7,24.3,.241,.467,11.9,68.1,.100
1982-03-23,,BOS,L,103,110,99.7,106.5,103.3,.236,.056,.524,48.9,56.8,5.8,2.4,.500,16.9,26.7,.157,.489,13.6,69.4,.273
1982-03-26,,NYK,W,131,107,,,,.358,.011,.596,58.6,61.1,,2.0,.568,,,.242,.485,,,.089
1982-03-28,@,IND,L,101,102,103.6,104.6,97.5,.329,.047,.519,51.5,64.3,7.2,4.3,.500,20.4,42.2,.188,.438,10.2,59.6,.175
1982-03-30,,ATL,L,92,107,,,,.427,.053,.516,51.9,76.5,,3.8,.453,17.6,,.320,.574,15.1,,.173
1982-03-31,@,PHI,L,98,99,102.1,103.1,96.0,.390,.024,.510,60.0,59.5,4.2,7.4,.451,15.8,35.7,.293,.518,11.5,83.7,.143
1982-04-02,,MIL,L,105,114,105.0,114.0,100.0,.357,.024,.540,53.3,57.1,4.0,6.5,.506,17.1,34.8,.238,.505,8.7,71.7,.165
1982-04-04,@,BOS,L,112,114,113.3,115.3,98.8,.261,.011,.571,45.5,51.1,7.1,5.4,.534,13.3,29.7,.205,.511,12.6,60.0,.191
1982-04-06,,PHI,L,104,117,101.1,113.8,102.8,.514,.028,.589,53.1,68.4,6.8,5.6,.528,21.4,22.9,.389,.527,10.4,76.1,.231
1982-04-07,@,CLE,W,122,105,116.6,100.3,104.6,.405,.000,.616,47.1,62.5,3.8,9.9,.571,14.7,27.0,.310,.375,9.5,58.5,.188
1982-04-09,,WSB,L,98,114,,,,.408,.013,.547,48.3,62.2,,11.5,.487,,,.316,.490,,,.208
1982-04-11,@,ATL,L,89,108,96.3,116.9,92.4,.262,.000,.475,51.6,61.1,6.5,8.0,.429,17.6,38.0,.202,.500,9.3,68.3,.227
1982-04-13,,BOS,W,120,115,108.6,104.1,110.5,.384,.000,.597,59.8,70.2,4.5,9.2,.547,16.6,31.0,.302,.455,10.3,81.8,.228
1982-04-14,@,NYK,W,120,116,,,,.280,.011,.574,51.5,60.0,,3.1,.538,,,.215,.515,,,.141
1982-04-16,,CLE,W,112,102,114.5,104.3,97.8,.313,.012,.593,55.6,63.0,8.2,10.1,.554,16.7,39.5,.241,.465,11.0,67.3,.090
1982-04-18,,IND,W,112,104,109.3,101.5,102.4,.238,.012,.603,57.1,61.2,2.9,10.1,.583,16.2,24.3,.167,.451,6.0,79.6,.118
