Date,Sep,Opp,WL,TmScore,OppScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1997-04-02,,DEN,W,110,85,115.8,89.5,95.0,.141,.228,.563,51.5,72.7,12.6,12.3,.533,8.4,25.6,.130,.433,14.8,70.7,.078
1997-04-04,,SAS,L,83,94,94.6,107.2,87.7,.282,.321,.473,56.6,63.3,6.8,9.1,.429,20.8,42.2,.205,.507,14.1,73.7,.257
1997-04-06,,DAL,W,87,80,97.5,89.6,89.3,.364,.273,.568,43.7,80.0,21.3,9.4,.508,22.3,23.5,.303,.461,23.1,62.2,.132
1997-04-08,@,GSW,W,109,85,124.3,96.9,87.7,.357,.314,.673,51.3,56.4,17.1,6.8,.636,19.0,36.7,.286,.417,16.2,60.0,.179
1997-04-09,@,UTA,L,89,101,98.4,111.7,90.4,.453,.267,.495,47.6,67.9,8.8,6.6,.427,14.3,28.0,.333,.521,15.9,78.1,.342
1997-04-11,,PHO,W,114,98,125.0,107.4,91.2,.198,.208,.546,55.1,54.3,8.8,19.7,.521,10.3,45.2,.146,.446,11.6,63.8,.289
1997-04-13,,UTA,W,100,98,117.6,115.2,85.0,.500,.269,.525,50.7,70.6,11.8,7.1,.474,9.5,36.2,.333,.547,16.1,75.0,.438
1997-04-17,,SAC,W,108,99,116.0,106.3,93.1,.395,.184,.605,50.0,74.4,12.9,11.1,.546,16.0,32.3,.329,.455,13.9,62.2,.202
1997-04-18,@,LAC,W,123,95,128.1,99.0,96.0,.514,.208,.697,53.2,55.8,13.5,6.9,.660,16.1,24.2,.389,.526,18.6,75.0,.197
1997-04-20,@,POR,L,96,100,107.8,112.3,89.1,.293,.122,.519,46.7,50.0,15.7,10.7,.482,9.8,27.5,.207,.551,18.6,68.6,.368
1997-10-31,,UTA,W,104,87,114.2,95.5,91.1,.474,.372,.552,45.7,81.8,9.9,11.7,.500,10.4,26.2,.333,.369,14.0,61.5,.298
1997-11-04,@,SAC,W,101,98,108.4,105.2,93.2,.403,.195,.557,46.6,58.3,8.6,6.1,.494,15.8,28.9,.325,.539,18.6,65.7,.195
1997-11-07,,NYK,W,99,94,106.0,100.6,93.4,.627,.187,.517,52.9,61.3,12.8,9.5,.427,12.8,30.2,.467,.429,15.0,75.0,.346
1997-11-09,,GSW,W,132,97,126.3,92.8,104.5,.451,.176,.605,55.1,71.4,11.5,11.3,.577,9.2,33.3,.297,.399,10.1,67.7,.135
1997-11-11,@,DAL,W,118,96,118.1,96.1,99.9,.388,.188,.630,50.6,63.0,12.0,13.4,.619,15.4,26.3,.238,.500,19.1,72.1,.116
1997-11-13,@,SAS,W,109,100,112.5,103.2,87.7,.398,.289,.559,47.6,57.5,7.2,10.8,.524,13.3,22.7,.265,.507,15.4,76.3,.320
1997-11-14,@,HOU,W,113,103,112.6,102.6,83.1,.298,.298,.531,41.3,51.2,13.0,6.9,.495,9.4,26.9,.213,.431,17.2,55.8,.234
1997-11-16,,VAN,W,121,95,122.4,96.1,98.8,.486,.311,.673,50.0,69.8,9.1,9.8,.655,15.9,21.6,.324,.440,13.0,72.3,.165
1997-11-18,@,UTA,W,97,92,117.5,111.4,82.6,.618,.250,.561,51.3,63.3,7.3,15.2,.478,11.3,35.0,.471,.473,12.1,67.5,.280
1997-11-19,,MIN,W,118,93,111.9,88.2,105.4,.191,.258,.612,50.0,77.6,12.3,5.8,.596,16.5,17.1,.135,.481,19.9,75.6,.200
1997-11-23,,LAC,W,119,102,117.4,100.6,101.4,.524,.155,.576,61.6,69.0,10.9,11.3,.512,14.1,41.2,.393,.521,19.5,79.5,.356
1997-11-25,@,MIA,L,86,103,92.3,110.5,93.2,.317,.280,.460,47.1,62.5,8.6,11.1,.433,13.8,25.6,.183,.506,12.9,69.0,.244
1997-11-26,@,BOS,W,118,103,115.8,101.1,101.9,.514,.208,.668,51.3,62.8,7.9,2.8,.646,20.7,23.3,.347,.506,16.2,69.6,.186
1997-11-28,@,PHI,L,95,105,105.0,116.1,90.5,.347,.360,.550,40.7,77.1,13.3,13.0,.520,13.9,21.4,.227,.476,11.6,59.1,.282
1997-11-30,,TOR,W,105,99,110.3,104.0,95.2,.451,.183,.617,47.9,71.8,9.5,8.5,.585,19.8,28.6,.310,.512,18.9,65.8,.198
1997-12-03,@,DEN,W,107,89,118.4,98.5,90.3,.338,.143,.605,53.8,43.9,10.0,6.5,.584,12.8,27.0,.221,.454,13.7,78.0,.263
1997-12-05,,SAS,W,98,88,111.0,99.7,88.3,.364,.195,.549,52.6,69.7,9.1,9.0,.474,14.4,37.8,.325,.467,19.6,66.7,.224
1997-12-07,,CLE,L,84,94,90.3,101.0,93.1,.583,.250,.464,43.0,61.5,6.4,5.5,.382,13.4,17.8,.403,.445,13.0,70.7,.256
1997-12-08,@,POR,L,99,105,104.4,110.8,94.8,.272,.207,.481,47.6,52.6,11.6,15.5,.446,9.6,30.6,.185,.544,14.9,71.4,.241
1997-12-10,@,GSW,L,92,93,98.9,99.9,93.1,.397,.167,.502,50.0,63.6,9.7,3.8,.455,17.2,31.8,.269,.428,13.7,68.2,.265
1997-12-12,,HOU,W,119,102,128.4,110.0,92.7,.284,.239,.601,46.2,56.5,10.8,11.7,.574,10.0,30.2,.205,.448,9.7,60.4,.276
1997-12-14,,DAL,W,119,89,126.8,94.8,93.8,.268,.268,.649,54.5,70.2,8.5,9.9,.616,13.2,28.1,.220,.429,12.0,73.3,.202
1997-12-16,@,MIN,W,109,96,112.0,98.7,97.3,.330,.205,.541,46.3,65.0,10.3,5.2,.489,9.8,23.9,.261,.429,14.0,67.3,.271
1997-12-17,@,CHI,L,83,104,98.2,123.1,84.5,.276,.218,.425,40.0,60.0,10.7,4.2,.368,10.1,34.0,.218,.518,12.3,48.6,.232
1997-12-19,@,ATL,W,98,96,108.8,106.6,90.1,.329,.195,.522,50.0,47.4,11.1,11.7,.482,11.3,34.1,.232,.506,14.8,66.7,.145
1997-12-20,@,CHH,W,109,100,122.8,112.6,88.8,.400,.267,.618,44.3,70.7,7.9,1.9,.613,12.0,27.8,.227,.536,19.2,61.8,.377
1997-12-22,@,HOU,W,94,83,107.2,94.7,87.7,.256,.269,.541,43.4,51.4,11.4,5.6,.513,14.7,25.0,.179,.429,18.8,60.5,.205
