"Date","Opp","WL","TmFGper","Tm3Pper","TmFTper","OppFGper","Opp3Pper","OppFTper","FTr","TSper","TRBper","ASTper","STLper","BLKper","OffeFGper","OffTOVper","OffORBper","OffFT_d_FGA","DefeFGper","DefTOVper","DefDRBper","DefFT_d_FGA","HomeGame","PlayOff"
"1997-02-04","LAC",FALSE,0.35,0.227,0.714,0.543,0.318,0.867,0.438,0.451,0.365,0.536,0.173,0.102,0.381,0.151,0.196,0.313,0.586,0.222,0.618,0.16,FALSE,TRUE
"1997-02-05","CHI",TRUE,0.461,0.286,0.857,0.432,0.421,0.667,0.236,0.539,0.602,0.585,0.102,0.145,0.494,0.092,0.395,0.202,0.481,0.119,0.778,0.148,TRUE,TRUE
"1997-02-12","MIN",TRUE,0.465,0.364,0.696,0.363,0.25,0.667,0.267,0.52,0.527,0.575,0.14,0.203,0.488,0.127,0.326,0.186,0.388,0.137,0.723,0.275,FALSE,TRUE
"1997-02-13","DEN",TRUE,0.479,0.5,0.789,0.453,0.522,0.818,0.404,0.596,0.451,0.6,0.132,0.143,0.543,0.067,0.191,0.319,0.523,0.159,0.727,0.314,FALSE,FALSE
"1997-02-16","SEA",FALSE,0.403,0.333,0.852,0.481,0.368,0.864,0.351,0.512,0.545,0.645,0.059,0.1,0.442,0.144,0.385,0.299,0.525,0.101,0.711,0.241,TRUE,TRUE
"1997-02-19","CLE",FALSE,0.448,0.467,0.806,0.493,0.333,0.853,0.534,0.586,0.438,0.654,0.014,0.085,0.509,0.154,0.267,0.431,0.521,0.044,0.588,0.408,TRUE,FALSE
"1997-02-21","VAN",TRUE,0.514,0.45,0.667,0.463,0.6,0.793,0.333,0.6,0.571,0.784,0.06,0.246,0.576,0.145,0.303,0.222,0.507,0.111,0.811,0.343,TRUE,FALSE
"1997-02-23","NYK",FALSE,0.424,0.348,0.806,0.437,0.5,0.692,0.364,0.527,0.432,0.69,0.112,0.096,0.465,0.129,0.246,0.293,0.485,0.155,0.63,0.262,TRUE,TRUE
"1997-02-25","HOU",FALSE,0.429,0.174,0.769,0.481,0.318,0.826,0.31,0.503,0.5,0.611,0.063,0.091,0.452,0.103,0.233,0.238,0.526,0.171,0.811,0.247,FALSE,TRUE
"1997-02-27","WSB",TRUE,0.547,0.412,0.808,0.476,0.273,0.867,0.302,0.626,0.471,0.468,0.092,0.07,0.587,0.093,0.212,0.244,0.494,0.152,0.703,0.317,FALSE,TRUE
"1997-02-28","ATL",FALSE,0.347,0.263,0.72,0.459,0.412,0.733,0.333,0.436,0.457,0.5,0.06,0.07,0.38,0.104,0.222,0.24,0.507,0.139,0.75,0.149,FALSE,TRUE
"1997-03-02","IND",FALSE,0.363,0.435,0.708,0.527,0.421,0.6,0.3,0.469,0.422,0.655,0.128,0.109,0.425,0.099,0.265,0.213,0.581,0.158,0.647,0.203,FALSE,FALSE
"1997-03-04","DAL",TRUE,0.417,0.435,0.917,0.443,0.077,0.84,0.286,0.539,0.528,0.343,0.093,0.106,0.476,0.175,0.304,0.262,0.449,0.167,0.767,0.266,FALSE,FALSE
"1997-03-07","HOU",FALSE,0.405,0.211,0.72,0.537,0.5,0.875,0.298,0.474,0.42,0.676,0.101,0.094,0.429,0.087,0.283,0.214,0.591,0.168,0.6,0.171,TRUE,TRUE
"1997-03-09","NJN",TRUE,0.494,0.375,0.815,0.438,0.391,0.667,0.318,0.594,0.475,0.667,0.1,0.082,0.547,0.171,0.324,0.259,0.484,0.155,0.587,0.125,TRUE,FALSE
"1997-03-12","GSW",TRUE,0.473,0.211,0.731,0.442,0.389,0.818,0.286,0.532,0.566,0.698,0.099,0.118,0.495,0.128,0.488,0.209,0.483,0.128,0.643,0.209,TRUE,FALSE
"1997-03-14","LAC",FALSE,0.38,0.345,0.652,0.486,0.375,0.633,0.25,0.465,0.57,0.6,0.136,0.052,0.435,0.113,0.449,0.163,0.527,0.147,0.73,0.257,TRUE,TRUE
"1997-03-16","TOR",TRUE,0.388,0.15,0.767,0.407,0.238,0.576,0.538,0.495,0.427,0.613,0.126,0.083,0.406,0.108,0.234,0.413,0.438,0.173,0.612,0.235,TRUE,FALSE
"1997-03-17","DEN",TRUE,0.538,0.609,0.682,0.423,0.3,0.71,0.282,0.644,0.513,0.357,0.117,0.086,0.628,0.154,0.226,0.192,0.462,0.164,0.702,0.282,FALSE,FALSE
"1997-03-20","CLE",TRUE,0.457,0.5,0.533,0.468,0.188,0.652,0.429,0.535,0.479,0.594,0.1,0.087,0.521,0.126,0.308,0.229,0.492,0.209,0.688,0.242,FALSE,FALSE
"1997-03-21","MIA",FALSE,0.459,0.471,0.75,0.436,0.417,0.652,0.378,0.562,0.544,0.559,0.083,0.19,0.514,0.122,0.314,0.284,0.532,0.111,0.727,0.192,FALSE,TRUE
"1997-03-23","ORL",FALSE,0.388,0.2,0.737,0.517,0.407,0.75,0.224,0.45,0.46,0.636,0.077,0.033,0.412,0.114,0.25,0.165,0.58,0.115,0.718,0.103,FALSE,TRUE
"1997-03-24","NJN",TRUE,0.477,0.357,0.815,0.333,0.125,0.56,0.314,0.557,0.509,0.463,0.116,0.151,0.506,0.117,0.409,0.256,0.343,0.137,0.581,0.137,FALSE,FALSE
"1997-03-26","MIL",TRUE,0.432,0.278,0.641,0.402,0.333,0.636,0.443,0.504,0.536,0.579,0.108,0.029,0.46,0.079,0.404,0.284,0.427,0.194,0.66,0.171,TRUE,FALSE
"1997-03-27","VAN",TRUE,0.379,0.3,0.811,0.442,0.357,0.714,0.425,0.494,0.49,0.667,0.088,0.079,0.414,0.088,0.346,0.345,0.474,0.14,0.659,0.325,FALSE,FALSE
"1997-04-01","SEA",TRUE,0.435,0.333,0.692,0.41,0.294,0.75,0.306,0.513,0.494,0.324,0.104,0.106,0.476,0.085,0.357,0.212,0.44,0.11,0.617,0.289,FALSE,TRUE
"1997-04-02","DEN",TRUE,0.478,0.476,0.923,0.389,0.32,0.389,0.141,0.563,0.515,0.727,0.126,0.123,0.533,0.084,0.256,0.13,0.433,0.148,0.707,0.078,TRUE,FALSE
"1997-04-04","SAS",FALSE,0.385,0.28,0.727,0.486,0.375,0.76,0.282,0.473,0.566,0.633,0.068,0.091,0.429,0.208,0.422,0.205,0.507,0.141,0.737,0.257,TRUE,FALSE
"1997-04-06","DAL",TRUE,0.455,0.389,0.833,0.434,0.333,0.625,0.364,0.568,0.437,0.8,0.213,0.094,0.508,0.223,0.235,0.303,0.461,0.231,0.622,0.132,TRUE,FALSE
"1997-04-08","GSW",TRUE,0.557,0.5,0.8,0.405,0.182,0.75,0.357,0.673,0.513,0.564,0.171,0.068,0.636,0.19,0.367,0.286,0.417,0.162,0.6,0.179,FALSE,FALSE
"1997-04-09","UTA",FALSE,0.373,0.4,0.735,0.507,0.167,0.926,0.453,0.495,0.476,0.679,0.088,0.066,0.427,0.143,0.28,0.333,0.521,0.159,0.781,0.342,FALSE,TRUE
"1997-04-11","PHO",TRUE,0.479,0.4,0.737,0.398,0.364,0.667,0.198,0.546,0.551,0.543,0.088,0.197,0.521,0.103,0.452,0.146,0.446,0.116,0.638,0.289,TRUE,TRUE
"1997-04-13","UTA",TRUE,0.436,0.286,0.667,0.516,0.5,0.875,0.5,0.525,0.507,0.706,0.118,0.071,0.474,0.095,0.362,0.333,0.547,0.161,0.75,0.438,TRUE,TRUE
"1997-04-17","SAC",TRUE,0.513,0.357,0.833,0.438,0.375,0.783,0.395,0.605,0.5,0.744,0.129,0.111,0.546,0.16,0.323,0.329,0.455,0.139,0.622,0.202,TRUE,FALSE
"1997-04-18","LAC",TRUE,0.597,0.6,0.757,0.474,0.444,0.577,0.514,0.697,0.532,0.558,0.135,0.069,0.66,0.161,0.242,0.389,0.526,0.186,0.75,0.197,FALSE,TRUE
"1997-04-20","POR",FALSE,0.463,0.3,0.708,0.515,0.417,0.735,0.293,0.519,0.467,0.5,0.157,0.107,0.482,0.098,0.275,0.207,0.551,0.186,0.686,0.368,FALSE,TRUE
"1997-10-31","UTA",TRUE,0.423,0.414,0.703,0.357,0.286,0.758,0.474,0.552,0.457,0.818,0.099,0.117,0.5,0.104,0.262,0.333,0.369,0.14,0.615,0.298,TRUE,TRUE
"1997-11-04","SAC",TRUE,0.468,0.267,0.806,0.506,0.455,0.625,0.403,0.557,0.466,0.583,0.086,0.061,0.494,0.158,0.289,0.325,0.539,0.186,0.657,0.195,FALSE,FALSE
"1997-11-07","NYK",TRUE,0.413,0.143,0.745,0.41,0.2,0.931,0.627,0.517,0.529,0.613,0.128,0.095,0.427,0.128,0.302,0.467,0.429,0.15,0.75,0.346,TRUE,TRUE
"1997-11-09","GSW",TRUE,0.538,0.438,0.659,0.394,0.143,0.538,0.451,0.605,0.551,0.714,0.115,0.113,0.577,0.092,0.333,0.297,0.399,0.101,0.677,0.135,TRUE,FALSE
"1997-11-11","DAL",TRUE,0.575,0.467,0.613,0.442,0.526,0.625,0.388,0.63,0.506,0.63,0.12,0.134,0.619,0.154,0.263,0.238,0.5,0.191,0.721,0.116,FALSE,FALSE
"1997-11-13","SAS",TRUE,0.482,0.292,0.667,0.493,0.2,0.828,0.398,0.559,0.476,0.575,0.072,0.108,0.524,0.133,0.227,0.265,0.507,0.154,0.763,0.32,FALSE,TRUE
"1997-11-14","HOU",TRUE,0.436,0.393,0.714,0.394,0.318,0.815,0.298,0.531,0.413,0.512,0.13,0.069,0.495,0.094,0.269,0.213,0.431,0.172,0.558,0.234,FALSE,TRUE
"1997-11-16","VAN",TRUE,0.581,0.478,0.667,0.429,0.222,0.682,0.486,0.673,0.5,0.698,0.091,0.098,0.655,0.159,0.216,0.324,0.44,0.13,0.723,0.165,TRUE,FALSE
"1997-11-18","UTA",TRUE,0.441,0.294,0.762,0.453,0.333,0.778,0.618,0.561,0.513,0.633,0.073,0.152,0.478,0.113,0.35,0.471,0.473,0.121,0.675,0.28,FALSE,TRUE
"1997-11-19","MIN",TRUE,0.551,0.348,0.706,0.463,0.273,0.552,0.191,0.612,0.5,0.776,0.123,0.058,0.596,0.165,0.171,0.135,0.481,0.199,0.756,0.2,TRUE,TRUE
"1997-11-23","LAC",TRUE,0.5,0.154,0.75,0.479,0.3,0.65,0.524,0.576,0.616,0.69,0.109,0.113,0.512,0.141,0.412,0.393,0.521,0.195,0.795,0.356,TRUE,FALSE
"1997-11-25","MIA",FALSE,0.39,0.304,0.577,0.451,0.474,0.69,0.317,0.46,0.471,0.625,0.086,0.111,0.433,0.138,0.256,0.183,0.506,0.129,0.69,0.244,FALSE,TRUE
"1997-11-26","BOS",TRUE,0.597,0.467,0.676,0.465,0.467,0.571,0.514,0.668,0.513,0.628,0.079,0.028,0.646,0.207,0.233,0.347,0.506,0.162,0.696,0.186,FALSE,FALSE
"1997-11-28","PHI",FALSE,0.467,0.296,0.654,0.471,0.125,0.774,0.347,0.55,0.407,0.771,0.133,0.13,0.52,0.139,0.214,0.227,0.476,0.116,0.591,0.282,FALSE,FALSE
"1997-11-30","TOR",TRUE,0.549,0.385,0.688,0.494,0.3,0.762,0.451,0.617,0.479,0.718,0.095,0.085,0.585,0.198,0.286,0.31,0.512,0.189,0.658,0.198,TRUE,FALSE
"1997-12-03","DEN",TRUE,0.532,0.727,0.654,0.434,0.214,0.741,0.338,0.605,0.538,0.439,0.1,0.065,0.584,0.128,0.27,0.221,0.454,0.137,0.78,0.263,FALSE,FALSE
"1997-12-05","SAS",TRUE,0.429,0.467,0.893,0.447,0.333,0.739,0.364,0.549,0.526,0.697,0.091,0.09,0.474,0.144,0.378,0.325,0.467,0.196,0.667,0.224,TRUE,TRUE
"1997-12-07","CLE",FALSE,0.361,0.167,0.69,0.427,0.333,0.778,0.583,0.464,0.43,0.615,0.064,0.055,0.382,0.134,0.178,0.403,0.445,0.13,0.707,0.256,TRUE,TRUE
"1997-12-08","POR",FALSE,0.413,0.316,0.68,0.506,0.75,0.679,0.272,0.481,0.476,0.526,0.116,0.155,0.446,0.096,0.306,0.185,0.544,0.149,0.714,0.241,FALSE,TRUE
"1997-12-10","GSW",FALSE,0.423,0.385,0.677,0.422,0.2,0.846,0.397,0.502,0.5,0.636,0.097,0.038,0.455,0.172,0.318,0.269,0.428,0.137,0.682,0.265,FALSE,FALSE
"1997-12-12","HOU",TRUE,0.523,0.429,0.72,0.402,0.296,0.686,0.284,0.601,0.462,0.565,0.108,0.117,0.574,0.1,0.302,0.205,0.448,0.097,0.604,0.276,TRUE,TRUE
"1997-12-14","DAL",TRUE,0.573,0.318,0.818,0.417,0.154,0.654,0.268,0.649,0.545,0.702,0.085,0.099,0.616,0.132,0.281,0.22,0.429,0.12,0.733,0.202,TRUE,FALSE
"1997-12-16","MIN",TRUE,0.455,0.333,0.793,0.424,0.125,0.742,0.33,0.541,0.463,0.65,0.103,0.052,0.489,0.098,0.239,0.261,0.429,0.14,0.673,0.271,FALSE,TRUE
"1997-12-17","CHI",FALSE,0.345,0.211,0.792,0.5,0.3,0.792,0.276,0.425,0.4,0.6,0.107,0.042,0.368,0.101,0.34,0.218,0.518,0.123,0.486,0.232,FALSE,TRUE
